candidate_id,rank,score,reasoning
CAND_0002025,1,106.9348,"Senior AI Engineer with 5.9 years of experience. Strong skillset in FAISS, TensorFlow, OpenSearch. Based in Trivandrum, Kerala with 80% response rate."
CAND_0029367,2,103.1618,"Senior Data Scientist with 5.7 years of experience. Strong skillset in TensorFlow, QLoRA, FAISS. Based in Bangalore, Karnataka with 77% response rate."
CAND_0011687,3,102.4727,"Senior NLP Engineer with 7.8 years of experience. Strong skillset in TensorFlow, OpenSearch, FAISS. Based in Indore, Madhya Pradesh with 89% response rate."
CAND_0046525,4,100.8908,"Senior Machine Learning Engineer with 6.1 years of experience. Strong skillset in Elasticsearch, Information Retrieval, TensorFlow. Based in Pune, Maharashtra with 88% response rate."
CAND_0036184,5,99.599,"Recommendation Systems Engineer with 6.0 years of experience. Strong skillset in QLoRA, FAISS, Embeddings. Based in Trivandrum, Kerala with 90% response rate."
CAND_0071974,6,97.3749,"Senior AI Engineer with 7.8 years of experience. Strong skillset in LoRA, Weaviate, PEFT. Based in Vizag, Andhra Pradesh with 76% response rate."
CAND_0030031,7,96.0078,"AI Engineer with 5.7 years of experience. Strong skillset in Information Retrieval, PyTorch, Python. Based in Trivandrum, Kerala with 94% response rate."
CAND_0081846,8,95.2855,"Lead AI Engineer with 6.7 years of experience. Strong skillset in Information Retrieval, Elasticsearch, PyTorch. Based in Jaipur, Rajasthan with 73% response rate."
CAND_0077337,9,95.1281,"Staff Machine Learning Engineer with 7.0 years of experience. Strong skillset in QLoRA, Pinecone, Information Retrieval. Based in Kochi, Kerala with 95% response rate."
CAND_0045250,10,93.4467,"Applied ML Engineer with 6.6 years of experience. Strong skillset in Sentence Transformers, Milvus, LoRA. Based in Delhi, Delhi with 74% response rate."
CAND_0011162,11,91.6533,"Recommendation Systems Engineer with 5.8 years of experience. Strong skillset in FAISS, Vector Search, LoRA. Based in Coimbatore, Tamil Nadu with 75% response rate."
CAND_0036437,12,91.4816,"Search Engineer with 4.8 years of experience. Strong skillset in OpenSearch, Elasticsearch, Sentence Transformers. Based in Kolkata, West Bengal with 87% response rate."
CAND_0000031,13,90.413,"Recommendation Systems Engineer with 6.0 years of experience. Strong skillset in FAISS, Pinecone, Embeddings. Based in Hyderabad, Telangana with 91% response rate."
CAND_0055905,14,90.4009,"Senior Machine Learning Engineer with 8.1 years of experience. Strong skillset in Elasticsearch, Python, OpenSearch. Based in London with 87% response rate."
CAND_0068811,15,86.5192,"Applied ML Engineer with 8.0 years of experience. Strong skillset in Vector Search, Qdrant, TensorFlow. Based in Pune, Maharashtra with 42% response rate."
CAND_0061655,16,85.4739,"Machine Learning Engineer with 4.6 years of experience. Strong skillset in PEFT, Pinecone, PyTorch. Based in Jaipur, Rajasthan with 88% response rate."
CAND_0049538,17,85.3442,"Applied ML Engineer with 5.8 years of experience. Strong skillset in OpenSearch, Vector Search, Milvus. Based in Jaipur, Rajasthan with 72% response rate."
CAND_0044855,18,85.2484,"Senior Data Scientist with 6.6 years of experience. Strong skillset in OpenSearch, Information Retrieval, Pinecone. Based in Coimbatore, Tamil Nadu with 56% response rate."
CAND_0006557,19,84.2031,"NLP Engineer with 7.9 years of experience. Strong skillset in Elasticsearch, OpenSearch, Vector Search. Based in Jaipur, Rajasthan with 63% response rate."
CAND_0018499,20,84.0615,"Senior Machine Learning Engineer with 7.2 years of experience. Strong skillset in Weaviate, Pinecone, Information Retrieval. Based in Noida, Uttar Pradesh with 61% response rate."
CAND_0046064,21,82.0758,"Senior NLP Engineer with 8.9 years of experience. Strong skillset in Python, Pinecone, OpenSearch. Based in Coimbatore, Tamil Nadu with 78% response rate."
CAND_0088025,22,81.3252,"Staff Machine Learning Engineer with 8.6 years of experience. Strong skillset in Pinecone, QLoRA, TensorFlow. Based in Jaipur, Rajasthan with 83% response rate."
CAND_0006418,23,80.5404,"Machine Learning Engineer with 5.7 years of experience. Strong skillset in Kubernetes, Embeddings, TensorFlow. Based in Gurgaon, Haryana with 92% response rate."
CAND_0042029,24,80.2157,"Senior Data Scientist with 6.5 years of experience. Strong skillset in PyTorch, NLP, Elasticsearch. Based in Delhi, Delhi with 67% response rate."
CAND_0008425,25,80.0673,"Senior NLP Engineer with 7.8 years of experience. Strong skillset in Qdrant, Sentence Transformers, NLP. Based in Kolkata, West Bengal with 66% response rate."
CAND_0042506,26,79.9992,"Search Engineer with 4.2 years of experience. Strong skillset in PEFT, Fine-tuning LLMs, TensorFlow. Based in Mumbai, Maharashtra with 48% response rate."
CAND_0052682,27,79.853,"NLP Engineer with 6.6 years of experience. Strong skillset in QLoRA, FAISS, PyTorch. Based in Vizag, Andhra Pradesh with 88% response rate."
CAND_0075574,28,79.6931,"Machine Learning Engineer with 5.7 years of experience. Strong skillset in Weaviate, OpenSearch, Qdrant. Based in Bangalore, Karnataka with 57% response rate."
CAND_0020877,29,79.5638,"Applied ML Engineer with 5.1 years of experience. Strong skillset in QLoRA, Elasticsearch, PyTorch. Based in Gurgaon, Haryana with 66% response rate."
CAND_0079387,30,79.3119,"AI Engineer with 6.9 years of experience. Strong skillset in Python, Sentence Transformers, Vector Search. Based in Trivandrum, Kerala with 81% response rate."
CAND_0018549,31,79.2376,"Recommendation Systems Engineer with 6.8 years of experience. Strong skillset in Weaviate, Kubernetes, Elasticsearch. Based in Coimbatore, Tamil Nadu with 73% response rate."
CAND_0068351,32,79.1825,"Lead AI Engineer with 6.4 years of experience. Strong skillset in Qdrant, Elasticsearch, PEFT. Based in Delhi, Delhi with 86% response rate."
CAND_0005260,33,78.7477,"Senior NLP Engineer with 5.2 years of experience. Strong skillset in Information Retrieval, Python, NLP. Based in Chennai, Tamil Nadu with 86% response rate."
CAND_0064326,34,77.4571,"Search Engineer with 7.6 years of experience. Strong skillset in PyTorch, Milvus, Weaviate. Based in Gurgaon, Haryana with 94% response rate."
CAND_0052328,35,77.416,"Recommendation Systems Engineer with 6.5 years of experience. Strong skillset in LoRA, OpenSearch, QLoRA. Based in Pune, Maharashtra with 79% response rate."
CAND_0041669,36,77.1786,"Recommendation Systems Engineer with 8.0 years of experience. Strong skillset in FAISS, Milvus, PEFT. Based in Noida, Uttar Pradesh with 77% response rate."
CAND_0050876,37,76.88,"Applied ML Engineer with 6.0 years of experience. Strong skillset in Qdrant, FAISS, OpenSearch. Based in Kolkata, West Bengal with 67% response rate."
CAND_0086022,38,76.4977,"Senior Applied Scientist with 5.3 years of experience. Strong skillset in Vector Search, Fine-tuning LLMs, Elasticsearch. Based in Kolkata, West Bengal with 55% response rate."
CAND_0022812,39,76.4457,"Applied ML Engineer with 4.5 years of experience. Strong skillset in Weaviate, Pinecone, LoRA. Based in Coimbatore, Tamil Nadu with 79% response rate."
CAND_0008239,40,75.2262,"AI Engineer with 4.0 years of experience. Strong skillset in Milvus, Elasticsearch, Weaviate. Based in Jaipur, Rajasthan with 73% response rate."
CAND_0007009,41,75.1599,"Recommendation Systems Engineer with 7.9 years of experience. Strong skillset in Weaviate, Python, Embeddings. Based in Noida, Uttar Pradesh with 62% response rate."
CAND_0050454,42,74.992,"AI Engineer with 6.8 years of experience. Strong skillset in PyTorch, QLoRA, Fine-tuning LLMs. Based in Delhi, Delhi with 77% response rate."
CAND_0079064,43,74.3945,"Senior Data Scientist with 5.2 years of experience. Strong skillset in OpenSearch, NLP, Fine-tuning LLMs. Based in Noida, Uttar Pradesh with 91% response rate."
CAND_0077285,44,74.1156,"Recommendation Systems Engineer with 5.5 years of experience. Strong skillset in LoRA, Pinecone, Sentence Transformers. Based in Ahmedabad, Gujarat with 56% response rate."
CAND_0093763,45,73.6806,"Senior Software Engineer (ML) with 5.0 years of experience. Strong skillset in FAISS, Vector Search, Sentence Transformers. Based in Noida, Uttar Pradesh with 92% response rate."
CAND_0074225,46,73.6339,"Machine Learning Engineer with 4.3 years of experience. Strong skillset in Elasticsearch, Milvus, Python. Based in Vizag, Andhra Pradesh with 91% response rate."
CAND_0064904,47,73.3616,"AI Engineer with 4.9 years of experience. Strong skillset in Embeddings, Elasticsearch, FastAPI. Based in Hyderabad, Telangana with 78% response rate."
CAND_0009691,48,73.2815,"Applied ML Engineer with 6.2 years of experience. Strong skillset in Fine-tuning LLMs, LoRA, Pinecone. Based in Indore, Madhya Pradesh with 64% response rate."
CAND_0062247,49,73.0482,"AI Engineer with 7.3 years of experience. Strong skillset in Pinecone, Vector Search, Qdrant. Based in Kochi, Kerala with 78% response rate."
CAND_0075249,50,73.0275,"Applied ML Engineer with 6.2 years of experience. Strong skillset in Sentence Transformers, Milvus, Fine-tuning LLMs. Based in Ahmedabad, Gujarat with 82% response rate."
CAND_0074735,51,72.7588,"Applied ML Engineer with 5.5 years of experience. Strong skillset in Weaviate, Information Retrieval, Vector Search. Based in Chandigarh, Chandigarh with 77% response rate."
CAND_0083307,52,72.6325,"Search Engineer with 7.8 years of experience. Strong skillset in Embeddings, QLoRA, PEFT. Based in Vizag, Andhra Pradesh with 70% response rate."
CAND_0099806,53,72.1219,"AI Engineer with 4.6 years of experience. Strong skillset in LoRA, FAISS, Embeddings. Based in Bhubaneswar, Odisha with 76% response rate."
